Timestamp,Gender,State,Parent Education Level,Household Income Level,Study Duration,Study Frequency,Learning Style,Study Resources,Past Exam Practice,Study Space,Attendance,Study Impact by extracurricular activity,Teacher Support,Progress Monitoring,Performance,Score Level
2024-06-15 14:21:35,Male,Niger,Secondary school,Low income,More than 4 hours,4-6 times a week,Hands-on practice,Videos,Often,Yes,Almost always,No impact,Rarely,Often,I performed worse than expected,200 - 270
2024-03-29 09:58:23,Female,Edo,No formal education,High income,More than 4 hours,4-6 times a week,Group discussions,Videos,Often,Yes,Never,Hinders somewhat,Usually,Never,I performed better than expected,< 120
2024-04-07 22:24:46,Male,Kano,No formal education,Low income,2-4 hours,Every day,Listening to lectures,Past questions,Never,Yes,Almost always,No impact,Rarely,Sometimes,I performed worse than expected,120 - 200
2024-03-30 21:55:56,Female,Rivers,No formal education,Middle income,More than 4 hours,Once a week,Listening to lectures,Videos,Never,No,Rarely,No impact,Always,Always,I performed better than expected,> 270
2024-09-10 04:52:05,Male,Gombe,Secondary school,Low income,2-4 hours,4-6 times a week,Watching videos,Online materials,Never,No,Sometimes,No impact,Sometimes,Rarely,I performed worse than expected,120 - 200
2024-06-03 23:16:36,Male,Gombe,Primary school,Middle income,2-4 hours,Once a week,Listening to lectures,Textbooks,Never,Yes,Always,Hinders somewhat,Rarely,Never,I performed as expected,> 270
2024-06-03 00:51:24,Male,Katsina,No formal education,Low income,1-2 hours,4-6 times a week,Reading notes,Past questions,Often,Yes,Always,Helps a lot,Usually,Never,I performed as expected,120 - 200
2024-08-04 08:41:12,Female,Benue,Primary school,High income,Less than 1 hour,4-6 times a week,Watching videos,Past questions,Never,Yes,Always,Hinders somewhat,Sometimes,Often,I performed better than expected,200 - 270
2024-08-25 17:35:35,Male,Adamawa,Primary school,Low income,More than 4 hours,4-6 times a week,Group discussions,Online materials,Sometimes,No,Always,Helps a lot,Rarely,Never,I performed better than expected,> 270
2024-01-27 15:49:34,Female,Kaduna,Primary school,Low income,More than 4 hours,Every day,Listening to lectures,Online materials,Sometimes,Yes,Sometimes,Helps somewhat,Always,Often,I performed worse than expected,120 - 200
2024-01-15 20:00:12,Female,Plateau,Primary school,High income,1-2 hours,Never,Group discussions,Videos,Often,Yes,Sometimes,Helps a lot,Sometimes,Sometimes,I performed as expected,200 - 270
