Timestamp,ID,Gender,State,Parent Education Level,Household Income Level,Study Duration,Study Frequency,Learning Style,Study Resources,Past Exam Practice,Study Space,Attendance,Study Impact by extracurricular activity,Teacher Support,Progress Monitoring,Performance,Score Level
2024-06-15 14:21:35,1,Male,Niger,Secondary school,Low income,More than 4 hours,4-6 times a week,Hands-on practice,Videos,Often,Yes,Almost always,No impact,Rarely,Often,I performed worse than expected,200 - 270
2024-03-29 09:58:23,2,Female,Edo,No formal education,High income,More than 4 hours,4-6 times a week,Group discussions,Videos,Often,Yes,Never,Hinders somewhat,Usually,Never,I performed better than expected,< 120
2024-04-07 22:24:46,3,Male,Kano,No formal education,Low income,2-4 hours,Every day,Listening to lectures,Past questions,Never,Yes,Almost always,No impact,Rarely,Sometimes,I performed worse than expected,120 - 200
2024-03-30 21:55:56,4,Female,Rivers,No formal education,Middle income,More than 4 hours,Once a week,Listening to lectures,Videos,Never,No,Rarely,No impact,Always,Always,I performed better than expected,> 270
2024-09-10 04:52:05,5,Male,Gombe,Secondary school,Low income,2-4 hours,4-6 times a week,Watching videos,Online materials,Never,No,Sometimes,No impact,Sometimes,Rarely,I performed worse than expected,120 - 200
2024-06-03 23:16:36,6,Male,Gombe,Primary school,Middle income,2-4 hours,Once a week,Listening to lectures,Textbooks,Never,Yes,Always,Hinders somewhat,Rarely,Never,I performed as expected,> 270
2024-06-03 00:51:24,7,Male,Katsina,No formal education,Low income,1-2 hours,4-6 times a week,Reading notes,Past questions,Often,Yes,Always,Helps a lot,Usually,Never,I performed as expected,120 - 200
2024-08-04 08:41:12,8,Female,Benue,Primary school,High income,Less than 1 hour,4-6 times a week,Watching videos,Past questions,Never,Yes,Always,Hinders somewhat,Sometimes,Often,I performed better than expected,200 - 270
2024-08-25 17:35:35,9,Male,Adamawa,Primary school,Low income,More than 4 hours,4-6 times a week,Group discussions,Online materials,Sometimes,No,Always,Helps a lot,Rarely,Never,I performed better than expected,> 270
2024-01-27 15:49:34,10,Female,Kaduna,Primary school,Low income,More than 4 hours,Every day,Listening to lectures,Online materials,Sometimes,Yes,Sometimes,Helps somewhat,Always,Often,I performed worse than expected,120 - 200
2024-01-15 20:00:12,11,Female,Plateau,Primary school,High income,1-2 hours,Never,Group discussions,Videos,Often,Yes,Sometimes,Helps a lot,Sometimes,Sometimes,I performed as expected,200 - 270
2024-07-07 11:58:08,12,Female,Enugu,Primary school,Low income,2-4 hours,Never,Group discussions,Past questions,Always,No,Almost always,Hinders somewhat,Rarely,Often,I performed as expected,120 - 200
2024-04-12 09:32:17,13,Female,Yobe,No formal education,Middle income,Less than 1 hour,4-6 times a week,Watching videos,Videos,Rarely,Yes,Almost always,Helps somewhat,Rarely,Rarely,I performed better than expected,200 - 270
2024-09-30 17:22:54,14,Male,Bayelsa,University,High income,1-2 hours,Once a week,Listening to lectures,Videos,Never,No,Rarely,Helps a lot,Rarely,Sometimes,I performed as expected,200 - 270
2024-03-14 10:07:16,15,Male,Bauchi,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,Every day,Listening to lectures,Online materials,Always,Yes,Almost always,Hinders somewhat,Never,Often,I performed as expected,200 - 270
2024-10-05 23:33:37,16,Female,Imo,No formal education,High income,More than 4 hours,Never,Group discussions,Past questions,Often,Yes,Always,Helps somewhat,Usually,Rarely,I performed as expected,> 270
2024-01-18 00:25:10,17,Female,Kaduna,Primary school,Low income,2-4 hours,Every day,Hands-on practice,Online materials,Rarely,Yes,Rarely,Helps somewhat,Sometimes,Always,I performed as expected,> 270
2024-03-16 15:40:10,18,Male,Jigawa,No formal education,Low income,More than 4 hours,2-3 times a week,Group discussions,Textbooks,Sometimes,No,Always,Helps somewhat,Rarely,Rarely,I performed better than expected,120 - 200
2024-07-19 10:51:23,19,Male,Borno,Secondary school,Middle income,Less than 1 hour,Only before exams,Listening to lectures,Past questions,Often,Yes,Never,Hinders somewhat,Never,Rarely,I performed as expected,200 - 270
2024-08-06 19:51:23,20,Male,Nasarawa,Primary school,Low income,1-2 hours,2-3 times a week,Hands-on practice,Online materials,Always,No,Rarely,No impact,Usually,Never,I performed better than expected,200 - 270
2024-03-06 12:42:42,21,Female,Taraba,No formal education,Middle income,1-2 hours,4-6 times a week,Watching videos,Past questions,Often,No,Almost always,Hinders somewhat,Usually,Never,I performed better than expected,200 - 270
2024-05-19 01:59:57,22,Female,Enugu,"Postgraduate(Masters,PhD)",Middle income,Less than 1 hour,Never,Listening to lectures,Past questions,Often,No,Sometimes,Hinders a lot,Never,Often,I performed worse than expected,200 - 270
2024-08-16 19:19:12,23,Male,FCT,"Postgraduate(Masters,PhD)",Middle income,More than 4 hours,2-3 times a week,Hands-on practice,Textbooks,Never,Yes,Sometimes,Helps somewhat,Never,Sometimes,I performed better than expected,> 270
2024-03-09 08:17:39,24,Female,Sokoto,"Postgraduate(Masters,PhD)",Middle income,1-2 hours,2-3 times a week,Hands-on practice,Tutor,Often,Yes,Sometimes,Helps somewhat,Always,Sometimes,I performed better than expected,120 - 200
2024-02-29 03:04:00,25,Male,Niger,"Postgraduate(Masters,PhD)",Middle income,Less than 1 hour,Every day,Group discussions,Videos,Never,Yes,Almost always,Helps somewhat,Always,Rarely,I performed better than expected,< 120
2024-06-05 13:26:44,26,Male,Oyo,Primary school,Middle income,2-4 hours,Once a week,Watching videos,Past questions,Never,No,Always,Helps a lot,Rarely,Never,I performed better than expected,> 270
2024-05-09 08:04:54,27,Female,Kano,University,High income,1-2 hours,Once a week,Watching videos,Online materials,Always,Yes,Never,Helps somewhat,Always,Rarely,I performed better than expected,< 120
2024-09-27 14:32:38,28,Female,Ondo,Primary school,High income,More than 4 hours,Never,Listening to lectures,Past questions,Often,Yes,Never,Helps somewhat,Always,Often,I performed better than expected,> 270
2024-07-15 06:38:17,29,Female,Katsina,Primary school,Low income,2-4 hours,Never,Reading notes,Videos,Always,No,Sometimes,Hinders somewhat,Usually,Sometimes,I performed as expected,> 270
2024-02-13 05:12:57,30,Female,Akwa Ibom,No formal education,Low income,Less than 1 hour,Only before exams,Reading notes,Textbooks,Always,No,Sometimes,Helps somewhat,Always,Rarely,I performed worse than expected,< 120
2024-01-02 14:50:22,31,Female,Enugu,Primary school,Middle income,More than 4 hours,2-3 times a week,Hands-on practice,Online materials,Always,No,Always,No impact,Sometimes,Rarely,I performed as expected,< 120
2024-08-11 16:53:52,32,Female,Sokoto,Secondary school,High income,Less than 1 hour,Once a week,Watching videos,Past questions,Sometimes,Yes,Rarely,Helps somewhat,Never,Always,I performed better than expected,120 - 200
2024-06-07 20:34:40,33,Female,Kano,No formal education,Low income,More than 4 hours,Every day,Group discussions,Tutor,Sometimes,Yes,Always,Hinders somewhat,Rarely,Never,I performed as expected,200 - 270
2024-07-29 10:32:02,34,Female,Ekiti,Secondary school,Low income,Less than 1 hour,4-6 times a week,Hands-on practice,Tutor,Often,No,Never,Hinders a lot,Never,Rarely,I performed as expected,< 120
2024-01-09 15:03:38,35,Male,Kogi,No formal education,Low income,1-2 hours,Only before exams,Listening to lectures,Online materials,Never,Yes,Always,Hinders a lot,Never,Never,I performed worse than expected,120 - 200
2024-08-09 16:37:19,36,Female,Bayelsa,University,Middle income,Less than 1 hour,2-3 times a week,Group discussions,Textbooks,Rarely,No,Always,Helps somewhat,Sometimes,Often,I performed better than expected,< 120
2024-04-07 10:43:51,37,Female,Kwara,Secondary school,High income,2-4 hours,Only before exams,Hands-on practice,Tutor,Sometimes,Yes,Always,No impact,Never,Sometimes,I performed as expected,200 - 270
2024-04-30 02:13:35,38,Male,Rivers,University,High income,More than 4 hours,Every day,Listening to lectures,Videos,Rarely,Yes,Rarely,No impact,Never,Never,I performed better than expected,120 - 200
2024-01-08 20:10:39,39,Female,Gombe,Primary school,High income,2-4 hours,2-3 times a week,Hands-on practice,Textbooks,Sometimes,No,Sometimes,Helps somewhat,Usually,Always,I performed better than expected,200 - 270
2024-03-10 08:44:49,40,Female,Imo,"Postgraduate(Masters,PhD)",High income,Less than 1 hour,Once a week,Listening to lectures,Videos,Rarely,No,Always,No impact,Never,Sometimes,I performed as expected,200 - 270
2024-04-22 10:05:09,41,Female,Gombe,University,High income,1-2 hours,Never,Hands-on practice,Videos,Sometimes,No,Always,Hinders somewhat,Rarely,Often,I performed as expected,> 270
2024-06-25 05:54:30,42,Male,Taraba,Primary school,Low income,2-4 hours,Every day,Reading notes,Online materials,Rarely,No,Never,Hinders a lot,Sometimes,Rarely,I performed worse than expected,> 270
2024-09-09 10:11:33,43,Male,Bauchi,Primary school,Low income,Less than 1 hour,Only before exams,Hands-on practice,Tutor,Often,Yes,Never,Hinders somewhat,Rarely,Never,I performed as expected,> 270
